frame,player name,weapon 1,weapon 2
4246,7xaniya,,
4247,7xaniya,,
4248,7xaniya,,
4249,7xaniya,,
4250,7xaniya,,
4251,7xaniya,,
4252,7xaniya,,
4253,7xaniya,,
4254,7xaniya,,
4255,7xaniya,,
4256,7xaniya,,
4257,7xaniya,,
4258,7xaniya,,
4259,7xaniya,,
4260,7xaniya,,
4261,7xaniya,,
4262,7xaniya,,
4263,7xaniya,,
4265,7xaniya,,
4266,twitch-maydeelol,P2020,TRIPLE TAKE
4267,twitch-maydeelol,P2020,TRIPLE TAKE
4268,twitch-maydeelol,P2020,TRIPLE TAKE
4269,twitch-maydeelol,P2020,TRIPLE TAKE
4270,twitch-maydeelol,P2020,TRIPLE TAKE
4271,twitch-maydeelol,VOLT,TRIPLE TAKE
4272,twitch-maydeelol,VOLT,TRIPLE TAKE
4273,twitch-maydeelol,VOLT,TRIPLE TAKE
4274,twitch-maydeelol,VOLT,TRIPLE TAKE
4275,twitch-maydeelol,VOLT,TRIPLE TAKE
4276,Gracefulfps,EVA-8 AUTO,ALTERNATOR
4277,Gracefulfps,EVA-8 AUTO,ALTERNATOR
4278,Gracefulfps,EVA-8 AUTO,ALTERNATOR
4279,Gracefulfps,EVA-8 AUTO,ALTERNATOR
4280,Gracefulfps,EVA-8 AUTO,WINGMAN
4281,Gracefulfps,EVA-8 AUTO,WINGMAN
4282,Gracefulfps,EVA-8 AUTO,WINGMAN
4283,Jmwfps,EVA-8 AUTO,SPITFIRE
4285,Jmwfps,EVA-8 AUTO,SPITFIRE
4286,Jmwfps,EVA-8 AUTO,SPITFIRE
4287,Jmwfps,EVA-8 AUTO,SPITFIRE
4292,Jmwfps,EVA-8 AUTO,SPITFIRE
4293,Jmwfps,EVA-8 AUTO,SPITFIRE
4294,Jmwfps,EVA-8 AUTO,SPITFIRE
4295,Jmwfps,EVA-8 AUTO,SPITFIRE
4296,Jmwfps,EVA-8 AUTO,SPITFIRE
4297,Jmwfps,EVA-8 AUTO,SPITFIRE
4298,Jmwfps,EVA-8 AUTO,SPITFIRE
4299,Jmwfps,EVA-8 AUTO,SPITFIRE
4300,Jmwfps,EVA-8 AUTO,SPITFIRE
4301,Jmwfps,EVA-8 AUTO,SPITFIRE
4302,Jmwfps,EVA-8 AUTO,SPITFIRE
4303,Jmwfps,EVA-8 AUTO,SPITFIRE
4304,twitch-maydeelol,VOLT,TRIPLE TAKE
4305,twitch-maydeelol,VOLT,TRIPLE TAKE
4306,twitch-maydeelol,VOLT,TRIPLE TAKE
4307,twitch-maydeelol,VOLT,TRIPLE TAKE
4308,twitch-maydeelol,VOLT,TRIPLE TAKE
4309,twitch-maydeelol,VOLT,TRIPLE TAKE
4310,twitch-maydeelol,VOLT,TRIPLE TAKE
4311,twitch-maydeelol,VOLT,TRIPLE TAKE
4312,twitch-maydeelol,VOLT,TRIPLE TAKE
4313,twitch-maydeelol,VOLT,TRIPLE TAKE
4314,twitch-maydeelol,VOLT,TRIPLE TAKE
4315,twitch-maydeelol,VOLT,TRIPLE TAKE
4316,twitch-maydeelol,VOLT,TRIPLE TAKE
4317,twitch-maydeelol,VOLT,TRIPLE TAKE
4318,twitch-maydeelol,VOLT,TRIPLE TAKE
4319,twitch-maydeelol,VOLT,TRIPLE TAKE
4320,twitch-maydeelol,VOLT,TRIPLE TAKE
4321,twitch-maydeelol,VOLT,TRIPLE TAKE
4322,twitch-maydeelol,VOLT,TRIPLE TAKE
4323,twitch-maydeelol,VOLT,TRIPLE TAKE
4324,twitch-maydeelol,VOLT,TRIPLE TAKE
4325,twitch-maydeelol,VOLT,TRIPLE TAKE
4326,twitch-maydeelol,VOLT,TRIPLE TAKE
4327,twitch-maydeelol,VOLT,TRIPLE TAKE
4328,twitch-maydeelol,VOLT,TRIPLE TAKE
4329,twitch-maydeelol,VOLT,TRIPLE TAKE
4330,twitch-maydeelol,VOLT,TRIPLE TAKE
4331,twitch-maydeelol,VOLT,TRIPLE TAKE
4332,Gracefulfps,MASTIFF,
4333,Gracefulfps,MASTIFF,
4334,Gracefulfps,MASTIFF,TRIPLE TAKE
4335,Gracefulfps,MASTIFF,TRIPLE TAKE
4336,Gracefulfps,MASTIFF,TRIPLE TAKE
4337,Gracefulfps,MASTIFF,TRIPLE TAKE
4338,Gracefulfps,MASTIFF,TRIPLE TAKE
4339,Gracefulfps,MASTIFF,TRIPLE TAKE
4340,Gracefulfps,MASTIFF,TRIPLE TAKE
4341,Gracefulfps,MASTIFF,TRIPLE TAKE
4342,Gracefulfps,MASTIFF,TRIPLE TAKE
4343,Gracefulfps,MASTIFF,TRIPLE TAKE
4344,Gracefulfps,MASTIFF,TRIPLE TAKE
4345,Gracefulfps,MASTIFF,TRIPLE TAKE
4346,Gracefulfps,MASTIFF,TRIPLE TAKE
4347,Gracefulfps,MASTIFF,TRIPLE TAKE
4348,Jmwfps,EVA-8 AUTO,SPITFIRE
4349,Jmwfps,EVA-8 AUTO,SPITFIRE
4350,Jmwfps,EVA-8 AUTO,SPITFIRE
4351,Jmwfps,EVA-8 AUTO,SPITFIRE
4352,Jmwfps,EVA-8 AUTO,SPITFIRE
4353,Jmwfps,EVA-8 AUTO,SPITFIRE
4354,Jmwfps,EVA-8 AUTO,SPITFIRE
4355,Jmwfps,EVA-8 AUTO,SPITFIRE
4356,Jmwfps,EVA-8 AUTO,SPITFIRE
4357,Jmwfps,EVA-8 AUTO,SPITFIRE
4362,Jmwfps,EVA-8 AUTO,SPITFIRE
4363,twitch-maydeelol,EVA-8 AUTO,SPITFIRE
4364,twitch-maydeelol,EVA-8 AUTO,SPITFIRE
4365,twitch-maydeelol,EVA-8 AUTO,SPITFIRE
4366,twitch-maydeelol,WINGMAN,VOLT
4367,twitch-maydeelol,WINGMAN,VOLT
4370,COOLER_Gnaske,HEMLOK,EVA-8 AUTO
4371,COOLER_Gnaske,HEMLOK,EVA-8 AUTO
4372,COOLER_Gnaske,TRIPLE TAKE,EVA-8 AUTO
4373,COOLER_Gnaske,TRIPLE TAKE,EVA-8 AUTO
4380,NEW_Rogerboger,FLATLINE,CHARGE RIFLE
4381,NEW_Rogerboger,FLATLINE,CHARGE RIFLE
4382,NEW_Rogerboger,FLATLINE,CHARGE RIFLE
4383,NEW_Rogerboger,FLATLINE,CHARGE RIFLE
4384,NEW_Rogerboger,FLATLINE,CHARGE RIFLE
4385,NEW_Rogerboger,FLATLINE,CHARGE RIFLE
4391,Legitlolly,WINGMAN,R-301
4392,HestiaWasTaken,R-301,MASTIFF
4393,HestiaWasTaken,R-301,MASTIFF
4394,HestiaWasTaken,R-301,MASTIFF
4395,HestiaWasTaken,R-301,MASTIFF
4396,HestiaWasTaken,R-301,MASTIFF
4397,HestiaWasTaken,R-301,MASTIFF
4398,PatEmra,FLATLINE,MASTIFF
4399,PatEmra,FLATLINE,MASTIFF
4400,PatEmra,FLATLINE,MASTIFF
4402,PatEmra,FLATLINE,MASTIFF
4403,PatEmra,FLATLINE,MASTIFF
4404,PatEmra,FLATLINE,MASTIFF
4405,SabroNN,SPITFIRE,EVA-8 AUTO
4406,SabroNN,SPITFIRE,EVA-8 AUTO
4408,SabroNN,SPITFIRE,EVA-8 AUTO
4409,SabroNN,SPITFIRE,EVA-8 AUTO
4410,SabroNN,SPITFIRE,EVA-8 AUTO
4411,SabroNN,SPITFIRE,EVA-8 AUTO
4412,SabroNN,SPITFIRE,EVA-8 AUTO
4413,SabroNN,SPITFIRE,EVA-8 AUTO
4414,TTM_JSavageW,WINGMAN,EVA-8 AUTO
4415,TTM_JSavageW,WINGMAN,EVA-8 AUTO
4416,TTM_ShRP,EVA-8 AUTO,
4417,TTM_ShRP,LONGBOW,EVA-8 AUTO
4418,TTM_ShRP,LONGBOW,EVA-8 AUTO
4419,TTM_ShRP,LONGBOW,EVA-8 AUTO
4420,TTM_ShRP,LONGBOW,EVA-8 AUTO
4421,TTM_ShRP,LONGBOW,EVA-8 AUTO
4422,TTM_ShRP,LONGBOW,EVA-8 AUTO
4423,TTM_ShRP,EVA-8 AUTO,
4424,TTM_ShRP,LONGBOW,EVA-8 AUTO
4425,TTM_ShRP,LONGBOW,EVA-8 AUTO
4426,TTM_Amaazz,R-301,EVA-8 AUTO
4427,TTM_Amaazz,R-301,EVA-8 AUTO
4428,TTM_Amaazz,R-301,EVA-8 AUTO
4429,FotM_nothFPS,EVA-8 AUTO,R-301
4430,FotM_nothFPS,EVA-8 AUTO,R-301
4431,FotM_nothFPS,EVA-8 AUTO,R-301
4432,FotM_nothFPS,EVA-8 AUTO,R-301
4433,FotM_Taylor,EVA-8 AUTO,R-301
4434,FotM_Taylor,EVA-8 AUTO,
4435,FotM_Taylor,FLATLINE,EVA-8 AUTO
4436,FotM_Taylor,FLATLINE,EVA-8 AUTO
4437,FotM_Taylor,FLATLINE,EVA-8 AUTO
4438,FotM_Taylor,FLATLINE,EVA-8 AUTO
4439,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4440,FotM_Taylor,FLATLINE,EVA-8 AUTO
4441,FotM_Taylor,FLATLINE,EVA-8 AUTO
4442,FotM_Taylor,FLATLINE,EVA-8 AUTO
4445,FotM_Taylor,FLATLINE,EVA-8 AUTO
4446,FotM_Taylor,FLATLINE,EVA-8 AUTO
4447,FotM_Taylor,FLATLINE,EVA-8 AUTO
4448,FotM_Taylor,FLATLINE,EVA-8 AUTO
4449,FotM_Taylor,FLATLINE,EVA-8 AUTO
4450,FotM_Taylor,FLATLINE,EVA-8 AUTO
4451,FotM_Taylor,FLATLINE,EVA-8 AUTO
4452,FotM_Taylor,FLATLINE,EVA-8 AUTO
4453,FotM_Taylor,FLATLINE,EVA-8 AUTO
4454,FotM_Taylor,FLATLINE,EVA-8 AUTO
4455,FotM_Taylor,FLATLINE,EVA-8 AUTO
4456,FotM_Taylor,FLATLINE,EVA-8 AUTO
4457,FotM_Taylor,FLATLINE,EVA-8 AUTO
4458,FotM_Taylor,FLATLINE,EVA-8 AUTO
4459,FotM_Taylor,FLATLINE,EVA-8 AUTO
4460,FotM_Taylor,FLATLINE,EVA-8 AUTO
4461,FotM_Taylor,FLATLINE,EVA-8 AUTO
4462,FotM_Taylor,FLATLINE,EVA-8 AUTO
4463,FotM_Taylor,FLATLINE,EVA-8 AUTO
4464,FotM_Taylor,FLATLINE,EVA-8 AUTO
4465,FotM_Taylor,FLATLINE,EVA-8 AUTO
4466,FotM_Taylor,FLATLINE,EVA-8 AUTO
4467,FotM_Taylor,FLATLINE,EVA-8 AUTO
4468,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4469,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4470,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4471,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4475,FotM_Taylor,FLATLINE,EVA-8 AUTO
4476,FotM_Taylor,FLATLINE,EVA-8 AUTO
4477,FotM_Taylor,FLATLINE,EVA-8 AUTO
4478,FotM_Taylor,FLATLINE,EVA-8 AUTO
4479,FotM_Taylor,FLATLINE,EVA-8 AUTO
4480,FotM_Taylor,FLATLINE,EVA-8 AUTO
4481,FotM_Taylor,FLATLINE,EVA-8 AUTO
4482,FotM_Taylor,FLATLINE,EVA-8 AUTO
4483,FotM_Taylor,FLATLINE,EVA-8 AUTO
4493,MicroFiberz,FLATLINE,R-99
4494,MicroFiberz,FLATLINE,R-99
4495,MicroFiberz,FLATLINE,R-99
4496,MicroFiberz,FLATLINE,R-99
4497,MicroFiberz,FLATLINE,R-99
4498,MicroFiberz,FLATLINE,R-99
4499,MicroFiberz,FLATLINE,R-99
4500,MicroFiberz,FLATLINE,R-99
4501,MicroFiberz,FLATLINE,R-99
4502,MicroFiberz,FLATLINE,R-99
4503,MicroFiberz,FLATLINE,R-99
4504,MicroFiberz,FLATLINE,R-99
4505,MicroFiberz,FLATLINE,R-99
4506,MicroFiberz,FLATLINE,R-99
4509,MicroFiberz,FLATLINE,R-99
4510,MicroFiberz,FLATLINE,R-99
4511,MicroFiberz,FLATLINE,
4512,MicroFiberz,FLATLINE,R-99
4513,MicroFiberz,FLATLINE,R-99
4514,MicroFiberz,FLATLINE,R-99
4516,Faenex,R-301,VOLT
4520,row,G7 SCOUT,EVA-8 AUTO
4521,row,G7 SCOUT,EVA-8 AUTO
4523,row,G7 SCOUT,EVA-8 AUTO
4524,PatEmra,FLATLINE,MASTIFF
4525,PatEmra,FLATLINE,MASTIFF
4526,PatEmra,FLATLINE,MASTIFF
4527,PatEmra,FLATLINE,MASTIFF
4528,PatEmra,FLATLINE,MASTIFF
4529,PatEmra,FLATLINE,MASTIFF
4530,PatEmra,FLATLINE,MASTIFF
4531,SabroNN,SPITFIRE,EVA-8 AUTO
4534,TI_jaazzaz,FLATLINE,EVA-8 AUTO
4535,TI_jaazzaz,FLATLINE,EVA-8 AUTO
4536,TI_jaazzaz,FLATLINE,EVA-8 AUTO
4537,TI_jaazzaz,FLATLINE,EVA-8 AUTO
4538,TI_jaazzaz,FLATLINE,EVA-8 AUTO
4539,TI_jaazzaz,FLATLINE,EVA-8 AUTO
4540,row,G7 SCOUT,EVA-8 AUTO
4541,Legitlolly,WINGMAN,R-301
4542,Legitlolly,WINGMAN,R-301
4543,Legitlolly,WINGMAN,R-301
4544,Legitlolly,WINGMAN,R-301
4545,HestiaWasTaken,R-301,MASTIFF
4546,HestiaWasTaken,R-301,MASTIFF
4547,HestiaWasTaken,R-301,MASTIFF
4552,TI_BallonG,MASTIFF,G7 SCOUT
4553,TI_BallonG,MASTIFF,G7 SCOUT
4554,TI_BallonG,MASTIFF,G7 SCOUT
4555,TI_BallonG,MASTIFF,G7 SCOUT
4556,TI_BallonG,MASTIFF,G7 SCOUT
4557,TI_BallonG,MASTIFF,G7 SCOUT
4558,TI_BallonG,MASTIFF,G7 SCOUT
4559,HestiaWasTaken,R-301,MASTIFF
4560,HestiaWasTaken,R-301,MASTIFF
4561,HestiaWasTaken,R-301,MASTIFF
4562,HestiaWasTaken,MASTIFF,
4563,HestiaWasTaken,R-301,MASTIFF
4564,HestiaWasTaken,R-301,MASTIFF
4565,HestiaWasTaken,R-301,MASTIFF
4566,HestiaWasTaken,MASTIFF,
4567,HestiaWasTaken,R-301,MASTIFF
4568,HestiaWasTaken,,
4574,TI_jaazzaz,FLATLINE,EVA-8 AUTO
4575,TI_jaazzaz,FLATLINE,EVA-8 AUTO
4576,TI_jaazzaz,FLATLINE,EVA-8 AUTO
4577,TI_zikii,SPITFIRE,EVA-8 AUTO
4579,TI_zikii,SPITFIRE,EVA-8 AUTO
4580,TI_zikii,SPITFIRE,EVA-8 AUTO
4581,Gambit_Hardecki,VOLT,ALTERNATOR
4582,Gambit_Hardecki,WINGMAN,EVA-8 AUTO
4583,Gambit_Hardecki,WINGMAN,EVA-8 AUTO
4584,Gambit_Hardecki,WINGMAN,EVA-8 AUTO
4585,Gambit_Hardecki,WINGMAN,EVA-8 AUTO
4586,Gambit_Hardecki,WINGMAN,EVA-8 AUTO
4587,Gambit_Hardecki,WINGMAN,EVA-8 AUTO
4588,Gambit_Artyco,WINGMAN,EVA-8 AUTO
4589,Gambit_Artyco,WINGMAN,EVA-8 AUTO
4590,Gambit_Artyco,WINGMAN,EVA-8 AUTO
4591,Leogri3x6_Gambit,R-99,30-30 REPEATER
4592,FotM_nothFPS,EVA-8 AUTO,R-301
4593,FotM_nothFPS,EVA-8 AUTO,R-301
4594,FotM_nothFPS,EVA-8 AUTO,R-301
4595,FotM_nothFPS,EVA-8 AUTO,R-301
4597,FotM_nothFPS,EVA-8 AUTO,R-301
4598,FotM_nothFPS,EVA-8 AUTO,R-301
4599,FotM_nothFPS,EVA-8 AUTO,R-301
4600,FotM_nothFPS,EVA-8 AUTO,R-301
4601,FotM_nothFPS,EVA-8 AUTO,R-301
4602,FotM_nothFPS,EVA-8 AUTO,R-301
4603,FotM_nothFPS,EVA-8 AUTO,R-301
4604,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4605,FotM_Pjeh,MASTIFF,
4606,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4607,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4608,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4609,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4610,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4611,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4612,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4613,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4614,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4615,FotM_Pjeh,TRIPLE TAKE,MASTIFF
4616,FotM_Taylor,FLATLINE,EVA-8 AUTO
4617,FotM_Taylor,FLATLINE,EVA-8 AUTO
4618,FotM_Taylor,FLATLINE,EVA-8 AUTO
4619,FotM_Taylor,FLATLINE,EVA-8 AUTO
4620,FotM_Taylor,FLATLINE,EVA-8 AUTO
4621,FotM_Taylor,FLATLINE,EVA-8 AUTO
4623,FotM_Taylor,FLATLINE,EVA-8 AUTO
4624,FotM_Taylor,FLATLINE,EVA-8 AUTO
4625,FotM_Taylor,FLATLINE,EVA-8 AUTO
4629,FotM_Taylor,FLATLINE,EVA-8 AUTO
4630,FotM_Taylor,FLATLINE,EVA-8 AUTO
4631,FotM_Taylor,FLATLINE,EVA-8 AUTO
4632,FotM_nothFPS,EVA-8 AUTO,R-301
4633,FotM_nothFPS,EVA-8 AUTO,R-301
4634,FotM_nothFPS,EVA-8 AUTO,R-301
